Step,Image,Issue Type,Detection Method,Treatment,Rationale
Part 3,Frame_No0_video_2_jpg.rf.c372febd2ba86018411f9380a7899ef3,Blurry Image,Laplacian var = 51.4 (<100),Flagged,Motion/defocus blur
Part 3,Frame_No10050_video_2_jpg.rf.7c0228ca233f9df07355c97c326f147f,Blurry Image,Laplacian var = 96.2 (<100),Flagged,Motion/defocus blur
Part 3,Frame_No116_video_14_jpg.rf.501be501ab90fa21186396a30e8990be,Blurry Image,Laplacian var = 39.6 (<100),Flagged,Motion/defocus blur
Part 3,Frame_No1189_video_5_jpg.rf.f6e7da56b7cfbb290a293717f81fb3e9,Blurry Image,Laplacian var = 84.9 (<100),Flagged,Motion/defocus blur
Part 3,Frame_No1260_video_1_jpg.rf.c8d4f92427740697e70b35d16e3615fe,Blurry Image,Laplacian var = 52.6 (<100),Flagged,Motion/defocus blur
Part 3,Frame_No1380_video_2_jpg.rf.bc55802776d771619128666326d4d5c1,Blurry Image,Laplacian var = 79.2 (<100),Flagged,Motion/defocus blur
Part 3,Frame_No150_video_2_jpg.rf.05a8c58a513e514ee5c256ed9e778736,Blurry Image,Laplacian var = 46.0 (<100),Flagged,Motion/defocus blur
Part 3,Frame_No1680_video_2_jpg.rf.fd25684f146c42e59386b944ca5a993f,Blurry Image,Laplacian var = 61.4 (<100),Flagged,Motion/defocus blur
Part 3,Frame_No17850_video_2_jpg.rf.8e7e73adec09e528203f33af5c974e87,Blurry Image,Laplacian var = 55.1 (<100),Flagged,Motion/defocus blur
Part 3,Frame_No1798_video_5_jpg.rf.db1b47d1b44387425caff3e95823a2d6,Blurry Image,Laplacian var = 59.2 (<100),Flagged,Motion/defocus blur
Part 3,Frame_No1800_video_1_jpg.rf.de04d660e90660d44f833d40d38fcdd3,Blurry Image,Laplacian var = 95.7 (<100),Flagged,Motion/defocus blur
Part 3,Frame_No2124_video_7_jpg.rf.c0a6a0df87b87e9620e0c4b39a0cea09,Blurry Image,Laplacian var = 88.2 (<100),Flagged,Motion/defocus blur
