Step,Image,Issue Type,Detection Method,Treatment,Rationale
Part 3,evoDJI_0007_frame118,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame168,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame257,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame3,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame148,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame326,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame117,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame126,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame101,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame146,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame232,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame1,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame89,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame122,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame236,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame179,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame269,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame92,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame253,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame235,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame28,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame114,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame133,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame54,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame113,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame233,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame96,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame214,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame10,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0033_frame174,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0029_frame178,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame101,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame270,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0033_frame179,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame240,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame207,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame162,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame116,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame279,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame211,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame272,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame222,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame198,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame178,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame143,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame133,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame254,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame327,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame56,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame244,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame119,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame234,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame177,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame138,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame139,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame59,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame55,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame166,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame183,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame171,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame101,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame226,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame119,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame117,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame242,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0038_frame44,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame41,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame108,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame118,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame119,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame96,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame139,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame312,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame337,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame317,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame148,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
